Age,MonthlyIncome,JobSatisfaction,WorkLifeBalance,YearsAtCompany,OverTime,DistanceFromHome,NumCompaniesWorked,EnvironmentSatisfaction,JobInvolvement,PerformanceRating,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,Education,Department,JobRole,MaritalStatus,EducationField,Gender,BusinessTravel,StockOptionLevel,Attrition
32,3160,2,1,15,0,16,1,2,2,3,7,16,4,2,R&D,Lab Tech,Single,Marketing,Male,Travel_Rarely,1,1
25,14439,4,4,4,1,22,4,4,3,1,7,16,3,5,R&D,Sales Exec,Divorced,Tech Degree,Female,Travel_Rarely,3,0
31,1000,3,4,3,1,12,0,2,1,1,3,3,5,1,R&D,Sales Exec,Divorced,Marketing,Male,Travel_Rarely,0,0
40,9627,4,1,20,0,16,1,4,1,4,14,13,5,1,R&D,Sales Exec,Married,Marketing,Male,Non-Travel,3,0
57,3743,4,1,39,0,19,8,3,1,2,10,6,5,2,R&D,Healthcare Rep,Single,Medical,Female,Travel_Rarely,0,0
38,8741,1,3,13,1,8,6,2,3,2,9,2,5,5,R&D,Lab Tech,Married,Tech Degree,Male,Travel_Rarely,2,0
33,1771,3,2,38,0,6,5,2,4,1,8,0,0,2,R&D,Director,Divorced,Other,Male,Non-Travel,0,0
35,9161,3,2,30,1,10,8,4,2,1,8,11,0,1,HR,Healthcare Rep,Married,Medical,Male,Travel_Rarely,1,0
41,7410,4,1,13,1,5,6,4,1,4,4,14,1,3,HR,Sales Rep,Married,Life Sci,Female,Travel_Rarely,1,0
43,1307,2,1,5,0,29,4,2,4,1,5,10,4,1,R&D,Sales Exec,Married,Medical,Female,Travel_Rarely,3,0
42,1000,4,4,11,0,18,8,1,2,4,4,9,4,3,HR,Sales Rep,Single,Other,Female,Non-Travel,2,0
58,10126,2,3,15,1,10,5,1,1,2,2,1,4,4,R&D,HR,Divorced,HR,Female,Travel_Rarely,2,0
46,16516,3,3,16,0,10,5,1,2,2,10,3,4,5,R&D,Director,Divorced,Medical,Male,Non-Travel,3,0
32,1000,4,1,22,0,7,3,3,2,4,7,16,5,4,R&D,Director,Divorced,Life Sci,Female,Travel_Rarely,1,0
18,6570,1,4,13,0,18,0,3,4,1,8,16,5,1,R&D,Research Sci,Married,Medical,Male,Travel_Frequently,1,0
42,12013,4,4,6,0,1,4,4,2,2,14,7,0,5,HR,Healthcare Rep,Married,Other,Female,Non-Travel,3,0
24,9737,3,2,31,0,7,8,3,1,3,3,13,2,1,R&D,Healthcare Rep,Single,Life Sci,Female,Travel_Rarely,2,0
26,16693,1,2,14,1,21,7,1,4,4,8,3,3,5,HR,Mfg Dir,Married,Tech Degree,Male,Travel_Rarely,3,0
41,7137,1,4,16,1,1,7,2,3,2,8,5,5,5,R&D,HR,Married,Other,Male,Non-Travel,3,0
18,2919,2,2,33,0,15,4,3,3,2,6,3,5,1,R&D,Sales Exec,Divorced,Medical,Female,Non-Travel,0,0
25,1869,1,1,4,0,4,8,3,4,2,7,2,6,1,R&D,Research Sci,Divorced,Life Sci,Female,Travel_Rarely,3,0
41,1933,1,4,26,0,28,2,1,3,3,14,5,5,5,R&D,Sales Rep,Divorced,Other,Female,Travel_Rarely,1,0
28,6444,4,2,22,0,29,2,3,2,3,2,6,2,5,R&D,Director,Divorced,Tech Degree,Female,Travel_Rarely,3,0
34,6848,3,3,39,0,20,0,4,1,3,14,13,2,1,R&D,Mfg Dir,Divorced,HR,Female,Travel_Rarely,2,0
25,1117,2,4,13,1,10,8,2,2,1,4,11,0,1,HR,Mfg Dir,Single,Marketing,Male,Travel_Rarely,2,1
52,10129,4,4,14,1,23,5,1,4,4,2,15,5,2,Sales,HR,Divorced,Life Sci,Female,Travel_Rarely,1,0
52,6274,1,3,32,0,9,1,4,1,1,6,7,6,2,R&D,Manager,Married,HR,Male,Non-Travel,2,0
50,4136,1,1,30,0,2,7,1,4,3,5,1,3,2,R&D,Director,Married,Tech Degree,Female,Travel_Rarely,3,0
22,3188,2,3,34,0,28,8,4,4,4,10,12,4,4,HR,Healthcare Rep,Single,HR,Female,Travel_Rarely,1,0
59,3917,3,4,16,0,14,8,2,4,1,2,7,5,5,R&D,Sales Rep,Married,Medical,Male,Non-Travel,2,0
56,1000,2,1,27,0,16,1,2,2,1,8,15,0,3,Sales,Sales Exec,Married,Marketing,Female,Travel_Rarely,3,0
58,1138,4,2,18,0,1,1,4,1,1,11,3,0,4,R&D,Sales Exec,Married,Life Sci,Male,Travel_Rarely,2,0
45,1000,2,2,22,1,2,6,4,1,3,0,15,3,5,R&D,Manager,Married,Other,Male,Travel_Rarely,0,0
24,1000,1,2,31,0,7,3,4,1,2,9,5,6,3,Sales,HR,Divorced,Tech Degree,Female,Travel_Rarely,2,0
26,3022,4,4,39,0,29,0,4,2,4,2,3,1,2,R&D,Sales Exec,Divorced,Marketing,Male,Travel_Rarely,1,0
25,3778,1,3,12,1,10,7,4,3,3,14,15,0,3,HR,Research Sci,Married,Tech Degree,Female,Travel_Rarely,3,0
29,1000,3,1,19,0,22,1,4,2,4,14,12,2,1,HR,Sales Exec,Married,HR,Female,Travel_Rarely,3,0
51,7967,1,2,34,0,20,2,2,2,3,14,4,2,1,Sales,Lab Tech,Single,Tech Degree,Female,Travel_Rarely,1,0
50,1741,1,1,4,0,1,4,4,4,1,10,14,4,5,HR,Research Sci,Married,Tech Degree,Female,Travel_Rarely,0,0
40,12142,2,4,8,0,13,2,3,1,1,14,7,0,4,R&D,Sales Rep,Single,HR,Female,Non-Travel,3,0
41,17134,1,2,28,1,1,6,2,1,2,9,6,6,2,Sales,Sales Exec,Divorced,HR,Female,Travel_Rarely,1,0
54,1025,4,4,5,0,5,6,1,3,2,10,13,4,5,Sales,Healthcare Rep,Married,Marketing,Female,Non-Travel,2,0
52,3100,4,3,24,1,16,1,2,3,4,6,6,0,2,Sales,Research Sci,Single,Life Sci,Male,Non-Travel,0,0
57,1000,3,4,30,0,15,6,1,4,2,2,6,3,1,R&D,Mfg Dir,Married,HR,Female,Non-Travel,1,0
39,4560,4,4,21,0,17,5,1,1,2,13,9,5,4,Sales,Lab Tech,Married,Marketing,Male,Travel_Rarely,2,0
44,4673,2,3,1,1,28,9,3,3,4,2,13,6,4,Sales,Lab Tech,Married,Tech Degree,Female,Non-Travel,3,0
52,1422,3,1,4,0,23,8,4,3,3,1,9,0,1,R&D,Sales Rep,Single,Tech Degree,Female,Travel_Rarely,3,0
18,4086,4,3,26,0,16,8,4,1,2,8,6,6,3,R&D,Research Sci,Divorced,Other,Male,Non-Travel,0,0
52,1277,2,3,24,0,13,1,2,2,3,10,6,1,4,R&D,Healthcare Rep,Single,Medical,Male,Travel_Rarely,2,0
54,1000,4,4,7,0,11,6,4,3,1,3,6,6,3,R&D,Manager,Single,HR,Male,Travel_Frequently,1,0
31,5270,4,1,0,0,17,4,3,1,2,9,4,6,2,Sales,Healthcare Rep,Single,Marketing,Male,Travel_Rarely,3,0
20,1972,1,2,19,0,17,5,2,3,1,12,0,2,4,HR,Sales Exec,Married,Other,Female,Travel_Rarely,1,0
18,4461,4,3,22,0,2,0,2,4,1,5,13,3,1,Sales,Director,Single,Marketing,Female,Travel_Rarely,1,0
22,2839,4,1,31,0,13,6,2,3,3,1,12,5,3,R&D,Sales Rep,Single,Life Sci,Male,Travel_Rarely,1,0
43,20000,2,3,10,1,14,5,4,1,4,8,7,5,2,R&D,Director,Married,Other,Female,Travel_Rarely,0,0
31,1000,2,3,38,0,11,3,4,3,2,14,7,2,2,Sales,Research Sci,Married,Marketing,Male,Travel_Rarely,1,0
56,3123,1,3,23,1,28,0,4,4,3,6,9,6,4,HR,Manager,Single,HR,Male,Travel_Rarely,0,0
44,5704,4,3,10,0,10,8,2,4,4,9,16,5,4,R&D,Lab Tech,Single,Marketing,Male,Travel_Frequently,0,0
26,2517,1,4,28,0,3,3,2,3,1,4,5,4,5,Sales,Lab Tech,Married,Medical,Male,Travel_Rarely,2,0
32,18384,4,1,25,1,29,1,1,3,2,6,14,3,5,HR,Mfg Dir,Single,Tech Degree,Male,Travel_Frequently,3,0
32,6398,3,1,15,0,27,7,1,4,1,13,14,1,4,R&D,Healthcare Rep,Married,Tech Degree,Female,Travel_Rarely,1,0
43,5349,3,1,34,0,17,1,4,4,1,3,15,2,5,R&D,Healthcare Rep,Single,Other,Male,Travel_Rarely,2,0
59,7074,1,3,19,0,15,4,2,2,2,12,7,0,1,R&D,Healthcare Rep,Single,Marketing,Male,Travel_Rarely,2,0
30,15250,1,4,2,0,9,5,4,2,4,9,14,0,1,R&D,Sales Exec,Married,Marketing,Female,Travel_Rarely,2,0
49,11919,1,3,0,0,10,7,4,4,4,12,2,0,5,Sales,Sales Rep,Single,Marketing,Male,Travel_Rarely,2,0
56,6441,2,3,0,0,8,0,1,3,2,14,5,3,4,Sales,Director,Single,Marketing,Male,Non-Travel,2,0
49,6914,2,1,16,1,21,0,3,1,2,6,7,1,1,R&D,Sales Exec,Married,Medical,Female,Travel_Rarely,1,1
21,1000,2,3,1,0,13,3,4,3,3,1,15,5,2,Sales,Manager,Divorced,HR,Female,Travel_Frequently,2,0
47,1000,1,2,28,1,27,4,3,3,3,6,14,1,4,R&D,Manager,Married,Medical,Female,Travel_Rarely,3,0
54,4230,4,3,19,1,18,8,3,2,1,14,12,1,3,R&D,Manager,Divorced,Medical,Female,Non-Travel,0,0
40,1000,3,2,5,0,5,6,2,2,2,3,14,2,3,Sales,Lab Tech,Divorced,Medical,Female,Travel_Rarely,0,0
56,3292,1,3,7,0,6,6,2,2,4,3,12,3,4,Sales,Lab Tech,Divorced,Tech Degree,Male,Travel_Frequently,3,0
32,1180,2,4,28,1,17,7,4,4,1,0,7,0,5,R&D,Sales Rep,Married,Medical,Male,Non-Travel,1,0
46,2123,2,4,32,1,11,4,1,4,1,11,13,2,1,R&D,Manager,Married,Marketing,Male,Travel_Rarely,0,0
53,7476,1,1,2,0,20,4,1,3,1,2,10,5,1,R&D,Research Sci,Married,Medical,Female,Non-Travel,3,0
30,14171,1,3,34,0,16,0,4,3,1,4,5,1,4,R&D,Research Sci,Single,Marketing,Female,Travel_Rarely,3,0
49,1000,2,2,4,0,9,8,4,1,4,4,0,6,2,Sales,Mfg Dir,Married,Other,Female,Travel_Rarely,2,0
24,3820,4,2,26,0,2,5,1,3,1,1,1,0,5,R&D,Sales Exec,Divorced,HR,Female,Travel_Rarely,0,0
39,10708,2,3,11,0,5,8,3,3,2,3,12,3,2,Sales,Director,Married,Tech Degree,Female,Travel_Rarely,2,0
45,1000,2,2,19,1,1,2,4,2,3,0,0,4,4,R&D,Lab Tech,Married,HR,Female,Travel_Rarely,1,0
19,8700,1,4,19,0,4,4,3,2,4,14,3,1,4,R&D,Director,Married,Other,Male,Travel_Rarely,0,0
59,2214,4,2,8,0,4,1,4,2,2,8,1,1,2,HR,HR,Married,HR,Female,Travel_Rarely,0,0
23,1943,2,1,38,0,22,9,4,2,2,0,15,1,3,R&D,Sales Rep,Married,Tech Degree,Male,Travel_Frequently,3,0
45,18963,2,4,3,0,26,4,3,2,2,5,2,1,4,R&D,Sales Rep,Married,Marketing,Male,Travel_Rarely,0,0
45,1121,3,4,18,0,25,7,3,1,3,6,16,0,5,R&D,Manager,Married,Other,Male,Non-Travel,1,0
37,5907,1,4,37,0,3,1,1,1,3,2,4,3,2,HR,Research Sci,Married,Other,Female,Non-Travel,1,0
47,8614,3,3,26,0,9,7,4,1,3,11,7,2,3,R&D,Manager,Divorced,Marketing,Female,Travel_Rarely,0,0
28,1000,3,3,12,0,22,3,2,2,2,14,11,0,2,R&D,Director,Divorced,Marketing,Female,Travel_Rarely,3,0
45,5549,2,4,12,0,23,9,2,4,3,0,11,3,3,HR,Research Sci,Single,Tech Degree,Female,Travel_Rarely,1,0
42,15136,1,3,21,1,12,9,4,2,1,6,0,2,3,Sales,Manager,Divorced,Medical,Female,Travel_Rarely,2,0
56,1000,4,2,27,0,10,0,4,2,3,2,0,1,5,Sales,Director,Married,Life Sci,Male,Travel_Rarely,1,0
50,11327,2,3,21,0,2,4,4,1,4,12,14,3,4,Sales,HR,Single,Medical,Male,Travel_Rarely,0,0
18,4516,4,3,18,0,11,0,3,2,2,9,16,1,3,R&D,Mfg Dir,Married,Medical,Female,Travel_Rarely,2,0
44,4793,4,4,7,1,10,6,2,1,2,11,1,6,4,Sales,Sales Exec,Single,HR,Male,Non-Travel,0,0
30,4745,1,1,7,0,22,7,2,2,1,11,16,3,5,HR,Mfg Dir,Single,Life Sci,Male,Non-Travel,0,1
58,1775,3,1,25,0,6,2,2,3,3,5,8,5,4,R&D,HR,Married,Marketing,Female,Travel_Rarely,0,0
20,13682,1,1,25,0,18,2,4,4,3,12,11,4,1,Sales,Mfg Dir,Married,Medical,Male,Travel_Rarely,3,0
56,14720,4,2,22,0,2,6,3,4,4,11,3,1,3,R&D,Lab Tech,Married,Tech Degree,Male,Travel_Frequently,3,0
23,4908,2,3,12,0,2,3,4,1,1,13,12,1,5,Sales,Lab Tech,Married,Medical,Female,Non-Travel,1,0
25,7649,4,1,27,0,10,2,1,3,4,5,3,1,2,R&D,Lab Tech,Married,Marketing,Male,Travel_Rarely,0,0
44,4737,2,4,8,0,16,7,1,4,4,13,6,5,5,R&D,Director,Married,Medical,Female,Travel_Rarely,2,0
26,3312,2,1,19,0,12,2,2,1,2,11,13,0,3,R&D,Lab Tech,Divorced,Other,Female,Travel_Rarely,2,0
54,5406,1,1,18,1,1,6,4,2,2,3,8,2,5,Sales,Sales Rep,Married,HR,Female,Travel_Rarely,2,0
50,4025,4,3,38,0,21,1,1,2,3,11,0,1,2,R&D,Sales Rep,Single,HR,Male,Travel_Rarely,3,0
59,4550,3,3,11,1,8,0,1,3,3,10,0,1,1,R&D,Research Sci,Single,Medical,Male,Travel_Frequently,3,0
41,7658,4,3,14,0,16,5,4,4,4,5,3,0,3,R&D,Healthcare Rep,Married,HR,Male,Non-Travel,0,0
32,3278,4,2,30,1,18,7,3,2,3,10,0,0,3,R&D,HR,Married,Tech Degree,Female,Non-Travel,2,0
49,1000,3,2,13,0,13,0,4,1,4,9,9,4,5,Sales,Sales Rep,Single,Life Sci,Male,Non-Travel,2,0
49,1000,1,1,10,0,15,9,4,2,3,3,1,3,4,HR,Sales Exec,Single,Medical,Male,Travel_Rarely,3,0
41,2886,4,3,25,0,21,8,3,2,3,14,14,1,4,R&D,Research Sci,Married,Tech Degree,Female,Travel_Rarely,3,0
58,6451,4,1,26,1,12,2,2,4,2,12,2,3,2,Sales,HR,Married,Other,Female,Travel_Rarely,2,0
29,4498,2,4,10,0,8,2,2,4,2,7,8,6,1,R&D,HR,Married,Tech Degree,Female,Travel_Rarely,2,0
56,5253,4,4,37,0,10,3,2,1,2,8,16,0,1,HR,Healthcare Rep,Divorced,Tech Degree,Male,Travel_Frequently,1,0
19,3262,3,3,33,0,14,0,3,3,2,1,12,0,5,R&D,Mfg Dir,Divorced,Other,Female,Travel_Rarely,3,0
20,4782,2,3,18,0,5,8,1,3,1,6,2,4,5,Sales,Mfg Dir,Married,Marketing,Male,Travel_Rarely,0,0
54,1995,1,4,5,0,18,2,3,2,2,8,3,2,4,Sales,Manager,Married,Medical,Female,Travel_Rarely,0,1
34,3176,2,3,37,0,19,9,4,1,1,8,3,5,1,R&D,Manager,Divorced,Medical,Female,Non-Travel,2,0
19,6818,3,2,27,0,15,3,3,3,2,11,10,5,1,HR,Research Sci,Married,Medical,Female,Travel_Rarely,3,0
19,10272,3,2,0,0,6,0,1,3,3,4,6,5,1,Sales,Manager,Single,Life Sci,Female,Non-Travel,0,0
45,2842,2,3,34,0,27,3,1,2,4,0,10,0,2,R&D,Manager,Single,Tech Degree,Male,Travel_Rarely,3,0
40,1000,1,4,39,0,11,0,4,1,3,5,10,1,2,Sales,Mfg Dir,Married,Medical,Male,Travel_Rarely,2,0
54,1000,2,1,7,0,21,4,2,3,3,14,9,4,5,R&D,Manager,Divorced,HR,Male,Travel_Rarely,2,0
49,1000,1,3,6,0,11,4,1,4,1,7,4,2,4,HR,Sales Rep,Single,Marketing,Female,Travel_Rarely,2,0
50,5295,2,3,10,0,20,6,1,4,2,0,12,6,3,R&D,Sales Exec,Single,Other,Male,Travel_Rarely,3,0
18,2019,3,1,38,0,20,7,1,2,4,1,11,5,4,R&D,Sales Rep,Divorced,Other,Female,Travel_Rarely,0,0
36,3909,4,3,3,1,21,3,4,2,4,12,9,4,2,R&D,Healthcare Rep,Divorced,Life Sci,Female,Non-Travel,1,0
19,3398,4,1,24,1,18,6,1,2,2,12,6,0,2,R&D,Sales Rep,Single,Other,Male,Travel_Rarely,0,1
43,1000,1,4,11,1,25,3,2,2,1,0,11,5,5,R&D,Research Sci,Married,Marketing,Female,Non-Travel,3,0
49,2581,1,2,25,0,18,2,4,3,1,4,14,2,3,R&D,Manager,Married,Tech Degree,Female,Travel_Rarely,0,0
23,1245,1,4,37,0,10,5,2,1,1,1,4,6,1,Sales,Manager,Married,Other,Male,Non-Travel,1,0
49,2709,3,2,11,0,2,3,1,2,4,14,13,3,3,R&D,Director,Divorced,Other,Male,Travel_Frequently,0,0
21,1138,2,1,36,0,26,2,1,2,1,9,11,6,3,Sales,Healthcare Rep,Single,HR,Female,Travel_Rarely,1,0
28,9177,3,2,23,0,9,8,2,3,1,9,10,2,3,HR,Sales Rep,Single,Tech Degree,Male,Travel_Frequently,3,0
34,1000,4,4,15,1,14,4,4,2,4,13,4,6,5,Sales,Director,Single,Medical,Female,Non-Travel,2,0
55,16192,1,2,12,1,19,6,4,2,4,3,15,1,2,R&D,HR,Single,Marketing,Male,Travel_Rarely,1,0
41,2688,2,1,24,1,10,5,2,1,3,0,11,5,1,Sales,Sales Exec,Single,Other,Female,Travel_Rarely,3,1
22,9361,4,2,3,0,23,9,1,4,4,6,4,5,3,R&D,Sales Exec,Single,HR,Female,Travel_Rarely,2,0
51,4954,4,3,10,0,4,4,3,2,2,7,15,3,1,R&D,Mfg Dir,Married,Marketing,Female,Travel_Rarely,1,0
23,6646,4,4,31,0,29,6,2,3,4,4,11,6,3,R&D,Manager,Single,Life Sci,Male,Travel_Frequently,2,0
39,7299,3,3,6,0,29,5,2,1,4,1,1,3,2,R&D,Mfg Dir,Divorced,HR,Male,Travel_Rarely,0,0
28,3514,1,1,10,0,6,9,2,3,1,7,5,6,1,HR,Healthcare Rep,Married,Life Sci,Female,Travel_Frequently,3,0
33,3918,4,2,27,0,14,1,1,1,3,0,3,5,4,R&D,Healthcare Rep,Married,Other,Male,Travel_Rarely,3,0
50,3607,1,3,22,0,4,2,4,1,1,14,12,1,2,R&D,HR,Single,HR,Male,Travel_Frequently,3,0
26,4434,3,3,22,0,26,1,1,2,3,6,9,6,1,R&D,Research Sci,Single,Medical,Male,Travel_Rarely,3,0
23,1000,4,2,27,0,15,2,2,2,1,0,16,3,3,Sales,Healthcare Rep,Married,Marketing,Female,Travel_Frequently,1,0
